SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=294, Epoch=36, minibatch=5, loss=0.05035, Wa=1.2606, Wb=1.2324
update=295, Epoch=36, minibatch=6, loss=0.05377, Wa=1.2610, Wb=1.2326
update=296, Epoch=36, minibatch=7, loss=0.05891, Wa=1.2612, Wb=1.2324
update=297, Epoch=37, minibatch=0, loss=0.04975, Wa=1.2614, Wb=1.2327
update=298, Epoch=37, minibatch=1, loss=0.04804, Wa=1.2614, Wb=1.2327
update=299, Epoch=37, minibatch=2, loss=0.05034, Wa=1.2612, Wb=1.2325
update=300, Epoch=37, minibatch=3, loss=0.05323, Wa=1.2616, Wb=1.2328
update=301, Epoch=37, minibatch=4, loss=0.05523, Wa=1.2612, Wb=1.2325
update=302, Epoch=37, minibatch=5, loss=0.05876, Wa=1.2609, Wb=1.2324
update=303, Epoch=37, minibatch=6, loss=0.06947, Wa=1.2607, Wb=1.2325
update=304, Epoch=37, minibatch=7, loss=0.06618, Wa=1.2607, Wb=1.2322
update=305, Epoch=38, minibatch=0, loss=0.05244, Wa=1.2613, Wb=1.2326
update=306, Epoch=38, minibatch=1, loss=0.05843, Wa=1.2614, Wb=1.2330
update=307, Epoch=38, minibatch=2, loss=0.05771, Wa=1.2612, Wb=1.2330
